Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_241_length_5742_cov_3.560577,5742,0.58836766767589,0.205504249185791,0.206128020115905,phage
NODE_242_length_5712_cov_5.364681,5712,0.766105295479798,0.13236524861212,0.101529460306428,phage
NODE_243_length_5706_cov_13.187400,5706,0.933251391575289,0.0288327003137801,0.0379159108360545,phage
NODE_244_length_5706_cov_3.790126,5706,0.68009609635038,0.0568862194009321,0.263017691190029,phage
NODE_245_length_5676_cov_12.776552,5676,0.61924206189827,0.129721565891242,0.251036407800104,phage
NODE_246_length_5674_cov_5.657056,5674,0.213306201569366,0.347078016674515,0.439615782661509,plasmid
NODE_247_length_5669_cov_2.327218,5669,0.681076526862642,0.0107877848615447,0.30813571911658,phage
NODE_248_length_5657_cov_3.702606,5657,0.7909719805288,0.140620133339231,0.0684078737700894,phage
NODE_249_length_5647_cov_2.978362,5647,0.916145190741713,0.0347370086625358,0.0491178083392356,phage
NODE_250_length_5572_cov_35.543230,5572,0.391310978988393,0.458267230559234,0.150421777840407,chromosome
NODE_251_length_5562_cov_6.509715,5562,0.679605285648132,0.102622136593211,0.217772563234245,phage
NODE_252_length_5557_cov_3.630498,5557,0.402583869464732,0.152633024414136,0.444783121787195,plasmid
NODE_253_length_5548_cov_8.153650,5548,0.731854317703089,0.0524328047114714,0.215712889890716,phage
NODE_254_length_5544_cov_11.114228,5544,0.843926739383053,0.0395224325316535,0.116550859204973,phage
NODE_255_length_5492_cov_2.247011,5492,0.536268239245307,0.216452792471374,0.247278929842013,phage
NODE_256_length_5460_cov_7.243293,5460,0.54039122737371,0.208079210185743,0.251529533702594,phage
NODE_257_length_5416_cov_27.572095,5416,0.970154274513662,0.010367988291376,0.0194777373384073,phage
NODE_258_length_5408_cov_78.804969,5408,0.72815744049803,0.0466664168851439,0.225176141261173,phage
NODE_259_length_5389_cov_27.333146,5389,0.884940948860613,0.00625570747567139,0.108803341693128,phage
NODE_260_length_5369_cov_9.824991,5369,0.565916660911523,0.308999684119407,0.125083667838633,phage
NODE_261_length_5368_cov_9.718427,5368,0.518060937856953,0.349039394940054,0.132899673672285,phage
NODE_262_length_5352_cov_35.933547,5352,0.804484473883838,0.0587368488370236,0.136778678160345,phage
NODE_263_length_5320_cov_13.683381,5320,0.863836074233951,0.0167907762229162,0.119373143692606,phage
NODE_264_length_5315_cov_2.788023,5315,0.603316482517479,0.18793246325943,0.208751052898387,phage
NODE_265_length_5295_cov_3.027863,5295,0.698303500417272,0.124683996541135,0.177012499938943,phage
NODE_266_length_5284_cov_65.251291,5284,0.659309201320404,0.0932130619313711,0.247477712167496,phage
NODE_267_length_5275_cov_6.447893,5275,0.964377400434413,0.0310539761011961,0.00456863666015071,phage
NODE_268_length_5264_cov_35.237666,5264,0.282047015437177,0.57170833624605,0.146244640408316,chromosome
NODE_269_length_5261_cov_3.820592,5261,0.778093831413623,0.0431282186694478,0.178777968899376,phage
NODE_270_length_5254_cov_2.963647,5254,0.127312099025666,0.544903878935126,0.3277840141475,chromosome
NODE_271_length_5249_cov_33.424528,5249,0.827032820284537,0.111170127383895,0.061797052491254,phage
NODE_272_length_5244_cov_3.745230,5244,0.966823239757486,0.00770065813873856,0.025476053386428,phage
NODE_273_length_5242_cov_2.716599,5242,0.738445615140776,0.0191169531826884,0.24243743317852,phage
NODE_274_length_5236_cov_2.875314,5236,0.299957693183448,0.437169585584729,0.26287272005613,chromosome
NODE_275_length_5221_cov_12.257065,5221,0.428761083297353,0.243049819141575,0.328189117975606,phage
